"Plant Family","Number of Tests","Number of Studies","Tests with annuals","Tests with perennials","Tests with mixed life history species"
"Amaranthaceae","28","2","0","0","28"
"Amaryllidaceae","60","1","0","60","0"
"Anacardiaceae","8","1","0","8","0"
"Araceae","48","1","0","48","0"
"Asparagaceae","38","2","0","38","0"
"Asteraceae","48","7","24","12","12"
"Boraginaceae","6","1","6","0","0"
"Brassicaceae","279","15","271","8","0"
"Caryophyllaceae","8","1","0","0","8"
"Chenopodioideae","4","1","0","4","0"
"Cistaceae","4","1","0","4","0"
"Cleomaceae","4","1","0","4","0"
"Convolvulaceae","1","1","1","0","0"
"Cucurbitaceae","3","1","3","0","0"
"Cyperaceae","1","1","0","1","0"
"Ericaceae","1","1","0","1","0"
"Fabaceae","113","15","99","10","4"
"Fagaceae","1","1","0","1","0"
"Geraniaceae","6","2","4","2","0"
"Hypericaceae","8","1","0","8","0"
"Iridaceae","8","1","0","8","0"
"Lamiaceae","6","1","6","0","0"
"Lythraceae","3","1","0","3","0"
"Malvaceae","6","1","6","0","0"
"Orchidaceae","8","2","0","8","0"
"Orobanchaceae","3","1","3","0","0"
"Papaveraceae","4","1","0","0","4"
"Pinaceae","54","2","0","54","0"
"Plantaginaceae","4","2","0","4","0"
"Poaceae","219","14","149","70","0"
"Polygonaceae","4","1","0","4","0"
"Rosaceae","74","3","0","72","2"
"Solanaceae","45","5","24","0","21"
